product_id,title,category,brand,price,rating,tags,description,image_url
1,Essence Mascara Lash Princess,beauty,Essence,9.99,2.56,beauty|mascara,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/1.webp
2,Eyeshadow Palette with Mirror,beauty,Glamour Beauty,19.99,2.86,beauty|eyeshadow,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/1.webp
3,Powder Canister,beauty,Velvet Touch,14.99,4.64,beauty|face powder,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",https://cdn.dummyjson.com/product-images/beauty/powder-canister/1.webp
4,Red Lipstick,beauty,Chic Cosmetics,12.99,4.36,beauty|lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",https://cdn.dummyjson.com/product-images/beauty/red-lipstick/1.webp
5,Red Nail Polish,beauty,Nail Couture,8.99,4.32,beauty|nail polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/1.webp
6,Calvin Klein CK One,fragrances,Calvin Klein,49.99,4.37,fragrances|perfumes,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp
7,Chanel Coco Noir Eau De,fragrances,Chanel,129.99,4.26,fragrances|perfumes,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/1.webp
8,Dior J'adore,fragrances,Dior,89.99,3.8,fragrances|perfumes,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp
9,Dolce Shine Eau de,fragrances,Dolce & Gabbana,69.99,3.96,fragrances|perfumes,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/1.webp
10,Gucci Bloom Eau de,fragrances,Gucci,79.99,2.74,fragrances|perfumes,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/1.webp
